"year","week","sum(d.deaths)"
"2015","1","1146"
"2015","2","1708"
"2015","3","1489"
"2015","4","1381"
"2015","5","1286"
"2015","6","1344"
"2015","7","1360"
"2015","8","1320"
"2015","9","1308"
"2015","10","1192"
"2015","11","1201"
"2015","12","1149"
"2015","13","1171"
"2015","14","1042"
"2015","15","1192"
"2015","16","1095"
"2015","17","1108"
"2015","18","1117"
"2015","19","1020"
"2015","20","1103"
"2015","21","1039"
"2015","22","1043"
"2015","23","1106"
"2015","24","1038"
"2015","25","1025"
"2015","26","1032"
"2015","27","1040"
"2015","28","1011"
"2015","29","1023"
"2015","30","956"
"2015","31","985"
"2015","32","1043"
"2015","33","969"
"2015","34","982"
"2015","35","954"
"2015","36","977"
"2015","37","991"
"2015","38","1001"
"2015","39","1010"
"2015","40","1008"
"2015","41","1028"
"2015","42","989"
"2015","43","981"
"2015","44","1116"
"2015","45","1028"
"2015","46","1103"
"2015","47","1054"
"2015","48","1115"
"2015","49","1089"
"2015","50","1101"
"2015","51","1146"
"2015","52","944"
"2015","53","1018"
"2015","54","1394"
"2015","55","1305"
"2015","56","1215"
"2015","57","1187"
"2015","58","1205"
"2016","1","1394"
"2016","2","1305"
"2016","3","1215"
"2016","4","1187"
"2016","5","1205"
"2016","6","1217"
"2016","7","1209"
"2016","8","1239"
"2016","9","1150"
"2016","10","1174"
"2016","11","1175"
"2016","12","1042"
"2016","13","1172"
"2016","14","1166"
"2016","15","1048"
"2016","16","1092"
"2016","17","1076"
"2016","18","1006"
"2016","19","1047"
"2016","20","1010"
"2016","21","994"
"2016","22","999"
"2016","23","1023"
"2016","24","988"
"2016","25","994"
"2016","26","1007"
"2016","27","988"
"2016","28","1022"
"2016","29","1041"
"2016","30","979"
"2016","31","987"
"2016","32","997"
"2016","33","982"
"2016","34","1017"
"2016","35","1039"
"2016","36","1007"
"2016","37","983"
"2016","38","966"
"2016","39","1009"
"2016","40","1072"
"2016","41","1009"
"2016","42","1070"
"2016","43","1052"
"2016","44","1032"
"2016","45","1043"
"2016","46","1174"
"2016","47","1132"
"2016","48","1159"
"2016","49","1188"
"2016","50","1219"
"2016","51","1284"
"2016","52","1133"
"2016","53","1205"
"2016","54","1379"
"2016","55","1224"
"2016","56","1197"
"2016","57","1332"
"2016","58","1200"
"2017","1","1205"
"2017","2","1379"
"2017","3","1224"
"2017","4","1197"
"2017","5","1332"
"2017","6","1200"
"2017","7","1231"
"2017","8","1185"
"2017","9","1219"
"2017","10","1146"
"2017","11","1141"
"2017","12","1152"
"2017","13","1112"
"2017","14","1060"
"2017","15","998"
"2017","16","1111"
"2017","17","1121"
"2017","18","1050"
"2017","19","1119"
"2017","20","1115"
"2017","21","1063"
"2017","22","1015"
"2017","23","1076"
"2017","24","1031"
"2017","25","1032"
"2017","26","994"
"2017","27","1040"
"2017","28","1014"
"2017","29","1025"
"2017","30","978"
"2017","31","1011"
"2017","32","1002"
"2017","33","1004"
"2017","34","1045"
"2017","35","980"
"2017","36","1006"
"2017","37","972"
"2017","38","1049"
"2017","39","1056"
"2017","40","1016"
"2017","41","1133"
"2017","42","1067"
"2017","43","1095"
"2017","44","1062"
"2017","45","1126"
"2017","46","1175"
"2017","47","1178"
"2017","48","1153"
"2017","49","1237"
"2017","50","1335"
"2017","51","1437"
"2017","52","1168"
"2017","53","1531"
"2017","54","1899"
"2017","55","1629"
"2017","56","1610"
"2017","57","1369"
"2017","58","1265"
"2018","1","1531"
"2018","2","1899"
"2018","3","1629"
"2018","4","1610"
"2018","5","1369"
"2018","6","1265"
"2018","7","1315"
"2018","8","1245"
"2018","9","1022"
"2018","10","1475"
"2018","11","1220"
"2018","12","1158"
"2018","13","1050"
"2018","14","1192"
"2018","15","1192"
"2018","16","1136"
"2018","17","1008"
"2018","18","1093"
"2018","19","967"
"2018","20","977"
"2018","21","1070"
"2018","22","998"
"2018","23","1033"
"2018","24","915"
"2018","25","993"
"2018","26","1046"
"2018","27","1041"
"2018","28","1002"
"2018","29","928"
"2018","30","933"
"2018","31","969"
"2018","32","953"
"2018","33","978"
"2018","34","941"
"2018","35","930"
"2018","36","970"
"2018","37","1020"
"2018","38","946"
"2018","39","1015"
"2018","40","1042"
"2018","41","1081"
"2018","42","1031"
"2018","43","1019"
"2018","44","1085"
"2018","45","1144"
"2018","46","1084"
"2018","47","1058"
"2018","48","1062"
"2018","49","1076"
"2018","50","1212"
"2018","51","1216"
"2018","52","1058"
"2018","53","1104"
"2018","54","1507"
"2018","55","1353"
"2018","56","1208"
"2018","57","1206"
"2018","58","1243"
"2019","1","1104"
"2019","2","1507"
"2019","3","1353"
"2019","4","1208"
"2019","5","1206"
"2019","6","1243"
"2019","7","1181"
"2019","8","1245"
"2019","9","1125"
"2019","10","1156"
"2019","11","1108"
"2019","12","1101"
"2019","13","1086"
"2019","14","1032"
"2019","15","1069"
"2019","16","902"
"2019","17","1121"
"2019","18","1131"
"2019","19","1018"
"2019","20","1115"
"2019","21","1061"
"2019","22","1029"
"2019","23","1042"
"2019","24","1028"
"2019","25","1053"
"2019","26","1051"
"2019","27","981"
"2019","28","1077"
"2019","29","964"
"2019","30","1041"
"2019","31","1020"
"2019","32","1018"
"2019","33","1028"
"2019","34","1011"
"2019","35","1013"
"2019","36","980"
"2019","37","1074"
"2019","38","1071"
"2019","39","1142"
"2019","40","1051"
"2019","41","1143"
"2019","42","1153"
"2019","43","1115"
"2019","44","1101"
"2019","45","1184"
"2019","46","1160"
"2019","47","1229"
"2019","48","1163"
"2019","49","1108"
"2019","50","1312"
"2019","51","1277"
"2019","52","1000"
"2019","53","1161"
"2019","54","1567"
"2019","55","1322"
"2019","56","1226"
"2019","57","1188"
"2019","58","1216"
"2020","1","1161"
"2020","2","1567"
"2020","3","1322"
"2020","4","1226"
"2020","5","1188"
"2020","6","1216"
"2020","7","1162"
"2020","8","1162"
"2020","9","1171"
"2020","10","1208"
"2020","11","1198"
"2020","12","1196"
"2020","13","1079"
"2020","14","1744"
"2020","15","1978"
"2020","16","1916"
"2020","17","1836"
"2020","18","1679"
"2020","19","1435"
"2020","20","1421"
"2020","21","1226"
"2020","22","1128"
"2020","23","1093"
"2020","24","1034"
"2020","25","1065"
"2020","26","1008"
"2020","27","983"
"2020","28","976"
"2020","29","1033"
"2020","30","961"
"2020","31","1043"
"2020","32","1011"
"2020","33","922"
"2020","34","1046"
"2020","35","1030"
"2020","36","1050"
