week_abs,deaths,week,year
1,1146,1,15
2,1708,2,15
3,1489,3,15
4,1381,4,15
5,1286,5,15
6,1344,6,15
7,1360,7,15
8,1320,8,15
9,1308,9,15
10,1192,10,15
11,1201,11,15
12,1149,12,15
13,1171,13,15
14,1042,14,15
15,1192,15,15
16,1095,16,15
17,1108,17,15
18,1117,18,15
19,1020,19,15
20,1103,20,15
21,1039,21,15
22,1043,22,15
23,1106,23,15
24,1038,24,15
25,1025,25,15
26,1032,26,15
27,1040,27,15
28,1011,28,15
29,1023,29,15
30,956,30,15
31,985,31,15
32,1043,32,15
33,969,33,15
34,982,34,15
35,954,35,15
36,977,36,15
37,991,37,15
38,1001,38,15
39,1010,39,15
40,1008,40,15
41,1028,41,15
42,989,42,15
43,981,43,15
44,1116,44,15
45,1028,45,15
46,1103,46,15
47,1054,47,15
48,1115,48,15
49,1089,49,15
50,1101,50,15
51,1146,51,15
52,944,52,15
53,1018,53,15
54,1394,1,16
55,1305,2,16
56,1215,3,16
57,1187,4,16
58,1205,5,16
59,1217,6,16
60,1209,7,16
61,1239,8,16
62,1150,9,16
63,1174,10,16
64,1175,11,16
65,1042,12,16
66,1172,13,16
67,1166,14,16
68,1048,15,16
69,1092,16,16
70,1076,17,16
71,1006,18,16
72,1047,19,16
73,1010,20,16
74,994,21,16
75,999,22,16
76,1023,23,16
77,988,24,16
78,994,25,16
79,1007,26,16
80,988,27,16
81,1022,28,16
82,1041,29,16
83,979,30,16
84,987,31,16
85,997,32,16
86,982,33,16
87,1017,34,16
88,1039,35,16
89,1007,36,16
90,983,37,16
91,966,38,16
92,1009,39,16
93,1072,40,16
94,1009,41,16
95,1070,42,16
96,1052,43,16
97,1032,44,16
98,1043,45,16
99,1174,46,16
100,1132,47,16
101,1159,48,16
102,1188,49,16
103,1219,50,16
104,1284,51,16
105,1133,52,16
106,1205,1,17
107,1379,2,17
108,1224,3,17
109,1197,4,17
110,1332,5,17
111,1200,6,17
112,1231,7,17
113,1185,8,17
114,1219,9,17
115,1146,10,17
116,1141,11,17
117,1152,12,17
118,1112,13,17
119,1060,14,17
120,998,15,17
121,1111,16,17
122,1121,17,17
123,1050,18,17
124,1119,19,17
125,1115,20,17
126,1063,21,17
127,1015,22,17
128,1076,23,17
129,1031,24,17
130,1032,25,17
131,994,26,17
132,1040,27,17
133,1014,28,17
134,1025,29,17
135,978,30,17
136,1011,31,17
137,1002,32,17
138,1004,33,17
139,1045,34,17
140,980,35,17
141,1006,36,17
142,972,37,17
143,1049,38,17
144,1056,39,17
145,1016,40,17
146,1133,41,17
147,1067,42,17
148,1095,43,17
149,1062,44,17
150,1126,45,17
151,1175,46,17
152,1178,47,17
153,1153,48,17
154,1237,49,17
155,1335,50,17
156,1437,51,17
157,1168,52,17
158,1531,1,18
159,1899,2,18
160,1629,3,18
161,1610,4,18
162,1369,5,18
163,1265,6,18
164,1315,7,18
165,1245,8,18
166,1022,9,18
167,1475,10,18
168,1220,11,18
169,1158,12,18
170,1050,13,18
171,1192,14,18
172,1192,15,18
173,1136,16,18
174,1008,17,18
175,1093,18,18
176,967,19,18
177,977,20,18
178,1070,21,18
179,998,22,18
180,1033,23,18
181,915,24,18
182,993,25,18
