Year,Week,Location,Sex,Age,Deaths
15,1,Hospital,F,0,2
15,1,Hospital,M,0,3
15,2,Hospital,M,0,2
15,2,Hospital,F,0,3
15,3,Hospital,F,0,3
15,3,Hospital,M,0,3
15,4,Home / Non-institution,F,0,1
15,4,Hospital,F,0,1
15,4,Hospital,M,0,1
15,5,Hospital,F,0,3
15,6,Home / Non-institution,F,0,1
15,6,Hospital,F,0,1
15,6,Hospital,M,0,1
15,7,Home / Non-institution,M,0,1
15,7,Hospital,F,0,2
15,7,Hospital,M,0,2
15,8,Hospital,F,0,2
15,8,Hospital,M,0,4
15,9,Care Home,M,0,1
15,9,Hospital,F,0,2
15,10,Home / Non-institution,F,0,1
15,10,Hospital,F,0,2
15,10,Hospital,M,0,5
15,11,Hospital,M,0,1
15,11,Hospital,F,0,2
15,12,Home / Non-institution,M,0,2
15,12,Hospital,M,0,2
15,13,Hospital,F,0,2
15,13,Hospital,M,0,4
15,14,Hospital,F,0,1
15,14,Hospital,M,0,2
15,15,Hospital,M,0,2
15,16,Hospital,F,0,2
15,17,Home / Non-institution,M,0,1
15,17,Hospital,M,0,1
15,18,Hospital,M,0,1
15,18,Hospital,F,0,3
15,19,Home / Non-institution,M,0,1
15,19,Hospital,F,0,1
15,20,Home / Non-institution,F,0,1
15,20,Hospital,M,0,3
15,21,Hospital,M,0,1
15,22,Hospital,F,0,1
15,22,Hospital,M,0,3
15,23,Hospital,F,0,2
15,24,Hospital,M,0,1
15,24,Hospital,F,0,3
15,25,Care Home,M,0,1
15,25,Hospital,F,0,1
15,26,Hospital,F,0,1
15,26,Hospital,M,0,1
15,27,Hospital,M,0,1
15,27,Hospital,F,0,3
15,28,Home / Non-institution,M,0,1
15,28,Hospital,F,0,1
15,28,Hospital,M,0,1
15,30,Hospital,F,0,1
15,30,Hospital,M,0,2
15,31,Hospital,M,0,1
15,32,Hospital,F,0,1
15,32,Hospital,M,0,2
15,33,Hospital,F,0,2
15,33,Hospital,M,0,3
15,34,Hospital,F,0,1
15,34,Hospital,M,0,4
15,35,Hospital,M,0,1
15,35,Hospital,F,0,2
15,36,Care Home,F,0,1
15,36,Hospital,F,0,1
15,36,Hospital,M,0,2
15,37,Home / Non-institution,M,0,2
15,37,Hospital,M,0,2
15,37,Hospital,F,0,4
15,38,Hospital,M,0,2
15,38,Hospital,F,0,3
15,39,Hospital,M,0,1
15,40,Home / Non-institution,M,0,1
15,40,Hospital,M,0,3
15,41,Care Home,F,0,1
15,41,Hospital,F,0,1
15,42,Hospital,F,0,1
15,42,Hospital,M,0,3
15,43,Hospital,F,0,1
15,43,Hospital,M,0,3
15,44,Hospital,F,0,2
15,44,Hospital,M,0,3
15,45,Hospital,F,0,1
15,45,Hospital,M,0,1
15,46,Hospital,M,0,1
15,47,Care Home,F,0,1
15,47,Hospital,F,0,1
15,48,Home / Non-institution,M,0,1
15,48,Hospital,F,0,1
15,48,Hospital,M,0,2
15,49,Hospital,M,0,1
15,50,Home / Non-institution,M,0,1
15,50,Hospital,F,0,4
15,51,Care Home,M,0,1
15,51,Home / Non-institution,M,0,1
15,51,Hospital,M,0,2
15,52,Hospital,M,0,2
16,1,Hospital,F,0,3
16,2,Hospital,F,0,2
16,2,Hospital,M,0,2
16,3,Hospital,F,0,1
16,3,Hospital,M,0,2
16,4,Hospital,M,0,3
16,5,Hospital,F,0,1
16,5,Hospital,M,0,2
16,6,Home / Non-institution,M,0,1
16,6,Hospital,F,0,2
16,6,Hospital,M,0,3
16,7,Hospital,M,0,2
16,7,Hospital,F,0,5
16,8,Hospital,F,0,4
16,9,Home / Non-institution,F,0,1
16,9,Hospital,F,0,1
16,9,Hospital,M,0,3
16,10,Home / Non-institution,F,0,1
16,10,Hospital,F,0,2
16,10,Hospital,M,0,5
16,11,Hospital,F,0,1
16,11,Hospital,M,0,2
16,12,Home / Non-institution,M,0,1
16,12,Hospital,F,0,1
16,12,Hospital,M,0,3
16,13,Hospital,M,0,4
16,14,Care Home,M,0,1
16,14,Hospital,F,0,1
16,14,Hospital,M,0,2
16,15,Hospital,F,0,1
16,15,Hospital,M,0,2
16,16,Care Home,F,0,1
16,16,Home / Non-institution,M,0,1
16,16,Hospital,F,0,1
16,16,Hospital,M,0,1
16,17,Hospital,M,0,2
16,17,Hospital,F,0,3
16,18,Home / Non-institution,F,0,1
16,18,Hospital,F,0,1
16,18,Hospital,M,0,1
16,19,Hospital,F,0,2
16,19,Hospital,M,0,2
16,20,Hospital,M,0,2
16,21,Hospital,F,0,2
16,21,Hospital,M,0,2
16,22,Hospital,F,0,1
16,22,Hospital,M,0,3
16,23,Home / Non-institution,F,0,1
16,23,Hospital,F,0,1
16,23,Hospital,M,0,3
16,24,Hospital,M,0,2
16,25,Hospital,F,0,2
16,26,Hospital,M,0,1
16,26,Hospital,F,0,2
16,27,Hospital,M,0,1
16,27,Hospital,F,0,3
