Year,Week,WeekX,Location,Sex,Age,Deaths
17,1,1,Hospital,F,0,3
17,1,1,Hospital,M,0,3
17,2,2,Hospital,F,0,1
17,2,2,Hospital,M,0,1
17,3,3,Hospital,M,0,5
17,4,4,Hospital,F,0,1
17,4,4,Hospital,M,0,4
17,5,5,Care Home,M,0,1
17,5,5,Hospital,F,0,2
17,6,6,Hospital,F,0,4
17,7,7,Hospital,M,0,1
17,7,7,Hospital,F,0,2
17,8,8,Hospital,F,0,1
17,8,8,Hospital,M,0,2
17,9,9,Hospital,F,0,1
17,10,10,Care Home,F,0,1
17,10,10,Hospital,M,0,1
17,11,11,Hospital,F,0,1
17,11,11,Hospital,M,0,3
17,12,12,Hospital,F,0,1
17,12,12,Hospital,M,0,1
17,13,13,Hospital,F,0,2
17,13,13,Hospital,M,0,2
17,14,14,Hospital,F,0,1
17,14,14,Hospital,M,0,1
17,15,15,Hospital,F,0,2
17,15,15,Hospital,M,0,2
17,16,16,Hospital,F,0,2
17,16,16,Hospital,M,0,3
17,17,17,Hospital,F,0,2
17,18,18,Home / Non-institution,M,0,1
17,18,18,Hospital,M,0,2
17,18,18,Hospital,F,0,3
17,19,19,Hospital,M,0,3
17,19,19,Hospital,F,0,4
17,20,20,Home / Non-institution,M,0,1
17,20,20,Hospital,F,0,2
17,20,20,Hospital,M,0,2
17,21,21,Hospital,F,0,1
17,21,21,Hospital,M,0,1
17,22,22,Hospital,F,0,3
17,23,23,Hospital,F,0,1
17,23,23,Hospital,M,0,5
17,24,24,Hospital,M,0,2
17,25,25,Hospital,M,0,2
17,27,27,Hospital,F,0,2
17,27,27,Hospital,M,0,4
17,28,28,Hospital,M,0,1
17,29,29,Hospital,F,0,1
17,29,29,Hospital,M,0,1
17,30,30,Hospital,F,0,1
17,30,30,Hospital,M,0,1
17,31,31,Home / Non-institution,M,0,1
17,31,31,Hospital,F,0,1
17,31,31,Hospital,M,0,5
17,32,32,Hospital,M,0,1
17,32,32,Hospital,F,0,2
17,33,33,Hospital,M,0,1
17,33,33,Hospital,F,0,2
17,34,34,Home / Non-institution,M,0,1
17,34,34,Hospital,M,0,2
17,35,35,Hospital,F,0,1
17,36,36,Hospital,F,0,2
17,36,36,Hospital,M,0,3
17,37,37,Hospital,M,0,1
17,38,38,Hospital,M,0,5
17,39,39,Home / Non-institution,M,0,1
17,40,40,Home / Non-institution,F,0,1
17,40,40,Hospital,F,0,1
17,40,40,Hospital,M,0,1
17,41,41,Home / Non-institution,M,0,1
17,41,41,Hospital,F,0,1
17,41,41,Hospital,M,0,6
17,42,42,Care Home,F,0,1
17,42,42,Home / Non-institution,F,0,1
17,42,42,Hospital,F,0,1
17,42,42,Hospital,M,0,1
17,43,43,Home / Non-institution,M,0,1
17,44,44,Home / Non-institution,F,0,2
17,44,44,Hospital,M,0,1
17,44,44,Hospital,F,0,2
17,45,45,Hospital,F,0,1
17,45,45,Hospital,M,0,1
17,46,46,Hospital,F,0,2
17,46,46,Hospital,M,0,3
17,47,47,Hospital,F,0,2
17,47,47,Hospital,M,0,2
17,48,48,Hospital,F,0,1
17,48,48,Hospital,M,0,2
17,49,49,Hospital,F,0,1
17,49,49,Hospital,M,0,2
17,50,50,Hospital,M,0,1
17,50,50,Hospital,F,0,3
17,51,51,Care Home,M,0,1
17,51,51,Hospital,F,0,1
17,51,51,Hospital,M,0,1
17,52,52,Hospital,M,0,1
18,1,53,Hospital,F,0,1
18,2,54,Home / Non-institution,M,0,2
18,2,54,Hospital,F,0,2
18,2,54,Hospital,M,0,4
18,3,55,Hospital,F,0,1
18,4,56,Hospital,M,0,2
18,4,56,Hospital,F,0,4
18,5,57,Hospital,F,0,1
18,5,57,Hospital,M,0,2
18,6,58,Care Home,F,0,1
18,6,58,Hospital,F,0,2
18,6,58,Hospital,M,0,3
18,7,59,Hospital,F,0,2
18,8,60,Hospital,F,0,2
18,9,61,Home / Non-institution,F,0,1
18,9,61,Hospital,M,0,5
18,10,62,Hospital,F,0,3
18,11,63,Hospital,M,0,1
18,12,64,Hospital,M,0,1
18,12,64,Hospital,F,0,3
18,13,65,Hospital,F,0,1
18,14,66,Hospital,M,0,4
18,15,67,Hospital,F,0,1
18,15,67,Hospital,M,0,3
18,16,68,Care Home,M,0,1
18,16,68,Home / Non-institution,M,0,1
18,16,68,Hospital,M,0,1
18,16,68,Hospital,F,0,4
18,17,69,Hospital,F,0,1
18,17,69,Hospital,M,0,1
18,18,70,Home / Non-institution,M,0,1
18,18,70,Hospital,M,0,2
18,18,70,Hospital,F,0,3
18,19,71,Hospital,M,0,1
18,20,72,Hospital,M,0,1
18,20,72,Hospital,F,0,2
18,21,73,Hospital,F,0,1
18,21,73,Hospital,M,0,1
18,22,74,Hospital,F,0,1
18,22,74,Hospital,M,0,1
18,24,76,Hospital,F,0,2
18,25,77,Hospital,F,0,1
18,26,78,Hospital,F,0,1
18,27,79,Home / Non-institution,F,0,1
18,27,79,Hospital,F,0,1
18,27,79,Hospital,M,0,1
18,28,80,Home / Non-institution,M,0,1
18,28,80,Hospital,M,0,1
18,28,80,Hospital,F,0,2
18,29,81,Home / Non-institution,M,0,1
18,29,81,Hospital,F,0,1
18,29,81,Hospital,M,0,1
18,30,82,Hospital,F,0,1
18,30,82,Hospital,M,0,3
18,31,83,Home / Non-institution,M,0,1
18,32,84,Hospital,F,0,1
18,33,85,Hospital,F,0,3
18,33,85,Hospital,M,0,4
18,35,87,Hospital,M,0,2
18,36,88,Home / Non-institution,F,0,1
18,36,88,Hospital,M,0,2
18,37,89,Hospital,F,0,2
18,37,89,Hospital,M,0,4
18,38,90,Hospital,M,0,1
18,38,90,Hospital,F,0,3
18,39,91,Hospital,F,0,1
18,39,91,Hospital,M,0,1
18,40,92,Hospital,F,0,1
18,41,93,Home / Non-institution,F,0,1
18,41,93,Hospital,F,0,1
18,41,93,Hospital,M,0,2
18,42,94,Hospital,F,0,2
18,42,94,Hospital,M,0,2
18,43,95,Home / Non-institution,M,0,1
18,43,95,Hospital,F,0,1
18,43,95,Hospital,M,0,2
18,44,96,Hospital,F,0,3
18,45,97,Home / Non-institution,F,0,1
18,45,97,Hospital,M,0,1
18,45,97,Hospital,F,0,2
18,46,98,Hospital,F,0,1
18,47,99,Home / Non-institution,M,0,1
18,47,99,Hospital,F,0,1
18,47,99,Hospital,M,0,4
18,49,101,Hospital,F,0,1
18,50,102,Care Home,F,0,2
18,50,102,Home / Non-institution,M,0,1
18,50,102,Hospital,F,0,1
18,50,102,Hospital,M,0,1
18,51,103,Hospital,M,0,1
18,51,103,Hospital,F,0,3
18,52,104,Hospital,F,0,1
18,52,104,Hospital,M,0,5
17,2,2,Hospital,F,1-14,1
17,3,3,Hospital,F,1-14,1
17,4,4,Care Home,M,1-14,1
17,4,4,Hospital,F,1-14,1
17,4,4,Hospital,M,1-14,1
17,5,5,Care Home,M,1-14,2
17,6,6,Hospital,M,1-14,1
17,6,6,Hospital,F,1-14,2
17,7,7,Hospital,F,1-14,2
17,8,8,Home / Non-institution,M,1-14,2
17,8,8,Hospital,M,1-14,1
17,9,9,Home / Non-institution,M,1-14,1
17,9,9,Hospital,F,1-14,1
17,10,10,Home / Non-institution,M,1-14,1
17,10,10,Hospital,F,1-14,1
17,12,12,Home / Non-institution,F,1-14,1
17,12,12,Hospital,M,1-14,1
17,14,14,Hospital,F,1-14,1
17,16,16,Home / Non-institution,F,1-14,1
17,16,16,Home / Non-institution,M,1-14,1
17,16,16,Hospital,M,1-14,1
17,17,17,Hospital,M,1-14,1
17,18,18,Hospital,M,1-14,1
17,19,19,Hospital,F,1-14,1
17,19,19,Hospital,M,1-14,2
17,20,20,Home / Non-institution,F,1-14,1
17,20,20,Home / Non-institution,M,1-14,1
17,23,23,Care Home,M,1-14,1
17,23,23,Hospital,F,1-14,2
17,24,24,Home / Non-institution,F,1-14,1
17,24,24,Home / Non-institution,M,1-14,1
17,24,24,Hospital,M,1-14,1
17,25,25,Care Home,F,1-14,1
17,25,25,Care Home,M,1-14,1
17,25,25,Home / Non-institution,F,1-14,1
17,25,25,Home / Non-institution,M,1-14,1
17,25,25,Hospital,M,1-14,1
17,26,26,Hospital,M,1-14,1
17,27,27,Home / Non-institution,F,1-14,1
17,27,27,Hospital,F,1-14,2
17,28,28,Home / Non-institution,F,1-14,2
17,30,30,Home / Non-institution,F,1-14,1
17,31,31,Care Home,F,1-14,1
17,31,31,Hospital,M,1-14,1
17,32,32,Home / Non-institution,F,1-14,1
17,32,32,Hospital,M,1-14,2
17,34,34,Hospital,F,1-14,1
17,36,36,Hospital,F,1-14,1
17,37,37,Home / Non-institution,F,1-14,1
17,37,37,Home / Non-institution,M,1-14,1
17,38,38,Home / Non-institution,F,1-14,1
17,38,38,Home / Non-institution,M,1-14,1
17,38,38,Hospital,F,1-14,1
17,40,40,Hospital,M,1-14,1
17,41,41,Hospital,F,1-14,1
17,42,42,Home / Non-institution,M,1-14,2
17,42,42,Hospital,M,1-14,1
17,43,43,Home / Non-institution,F,1-14,1
17,43,43,Home / Non-institution,M,1-14,1
17,43,43,Hospital,M,1-14,1
17,44,44,Care Home,F,1-14,1
17,44,44,Home / Non-institution,F,1-14,1
17,45,45,Home / Non-institution,M,1-14,1
17,45,45,Hospital,M,1-14,1
