Year,Week,WeekX,Location,Sex,Age,Deaths,
19,1,1,Care Home,M,0,1,
19,1,1,Hospital,F,0,1,
19,1,1,Hospital,M,0,2,
19,2,2,Home / Non-institution,M,0,1,
19,2,2,Hospital,M,0,3,
19,3,3,Hospital,F,0,2,
19,3,3,Hospital,M,0,3,
19,4,4,Home / Non-institution,M,0,1,
19,4,4,Hospital,M,0,1,
19,5,5,Hospital,F,0,1,
19,5,5,Hospital,M,0,3,
19,6,6,Hospital,M,0,3,
19,6,6,Hospital,F,0,4,
19,7,7,Hospital,F,0,2,
19,7,7,Hospital,M,0,3,
19,8,8,Hospital,F,0,1,
19,8,8,Hospital,M,0,1,
19,9,9,Hospital,F,0,1,
19,9,9,Hospital,M,0,4,
19,10,10,Hospital,M,0,1,
19,10,10,Hospital,F,0,2,
19,11,11,Hospital,F,0,1,
19,11,11,Hospital,M,0,1,
19,12,12,Home / Non-institution,F,0,1,
19,12,12,Hospital,F,0,1,
19,12,12,Hospital,M,0,4,
19,13,13,Hospital,F,0,1,
19,14,14,Hospital,F,0,2,
19,15,15,Hospital,M,0,1,
19,15,15,Hospital,F,0,3,
19,16,16,Hospital,F,0,1,
19,17,17,Hospital,F,0,1,
19,17,17,Hospital,M,0,2,
19,18,18,Hospital,M,0,1,
19,18,18,Hospital,F,0,2,
19,19,19,Hospital,M,0,1,
19,20,20,Hospital,M,0,3,
19,21,21,Home / Non-institution,F,0,1,
19,21,21,Hospital,F,0,1,
19,21,21,Hospital,M,0,2,
19,22,22,Hospital,F,0,2,
19,22,22,Hospital,M,0,2,
19,23,23,Hospital,F,0,1,
19,23,23,Hospital,M,0,1,
19,25,25,Hospital,M,0,1,
19,26,26,Care Home,M,0,1,
19,26,26,Hospital,M,0,2,
19,27,27,Hospital,F,0,1,
19,27,27,Hospital,M,0,1,
19,28,28,Care Home,F,0,1,
19,28,28,Care Home,M,0,1,
19,28,28,Hospital,F,0,1,
19,28,28,Hospital,M,0,2,
19,29,29,Hospital,F,0,1,
19,29,29,Hospital,M,0,1,
19,30,30,Hospital,F,0,1,
19,30,30,Hospital,M,0,3,
19,31,31,Hospital,F,0,2,
19,32,32,Home / Non-institution,F,0,1,
19,32,32,Hospital,M,0,1,
19,33,33,Hospital,F,0,1,
19,33,33,Hospital,M,0,4,
19,34,34,Hospital,M,0,4,
19,35,35,Hospital,M,0,6,
19,36,36,Hospital,F,0,1,
19,36,36,Hospital,M,0,4,
19,37,37,Hospital,F,0,1,
19,37,37,Hospital,M,0,1,
19,38,38,Hospital,F,0,2,
19,38,38,Hospital,M,0,2,
19,39,39,Hospital,M,0,1,
19,39,39,Hospital,F,0,2,
19,40,40,Hospital,M,0,1,
19,41,41,Hospital,F,0,2,
19,41,41,Hospital,M,0,3,
19,42,42,Hospital,F,0,1,
19,43,43,Care Home,M,0,1,
19,43,43,Home / Non-institution,F,0,1,
19,43,43,Hospital,F,0,1,
19,43,43,Hospital,M,0,3,
19,44,44,Hospital,F,0,1,
19,44,44,Hospital,M,0,2,
19,45,45,Home / Non-institution,M,0,1,
19,45,45,Hospital,M,0,1,
19,46,46,Hospital,M,0,1,
19,46,46,Hospital,F,0,2,
19,47,47,Hospital,M,0,1,
19,47,47,Hospital,F,0,2,
19,48,48,Home / Non-institution,F,0,1,
19,49,49,Hospital,F,0,1,
19,49,49,Hospital,M,0,1,
19,50,50,Hospital,M,0,3,
19,51,51,Home / Non-institution,M,0,1,
19,51,51,Hospital,M,0,1,
19,51,51,Hospital,F,0,2,
