Year,Week,Location,Sex,Age band,Deaths,Cause of Death
20,1,Care Home,F,15-44,3,Non-COVID-19
20,1,Care Home,M,45-64,8,Non-COVID-19
20,1,Care Home,F,45-64,10,Non-COVID-19
20,1,Care Home,M,65-74,12,Non-COVID-19
20,1,Care Home,F,65-74,18,Non-COVID-19
20,1,Care Home,M,75-84,34,Non-COVID-19
20,1,Care Home,F,75-84,52,Non-COVID-19
20,1,Care Home,M,85+,47,Non-COVID-19
20,1,Care Home,F,85+,122,Non-COVID-19
20,1,Home / Non-institution,F,15-44,4,Non-COVID-19
20,1,Home / Non-institution,M,15-44,8,Non-COVID-19
20,1,Home / Non-institution,F,45-64,17,Non-COVID-19
20,1,Home / Non-institution,M,45-64,44,Non-COVID-19
20,1,Home / Non-institution,F,65-74,23,Non-COVID-19
20,1,Home / Non-institution,M,65-74,41,Non-COVID-19
20,1,Home / Non-institution,F,75-84,41,Non-COVID-19
20,1,Home / Non-institution,M,75-84,55,Non-COVID-19
20,1,Home / Non-institution,M,85+,34,Non-COVID-19
20,1,Home / Non-institution,F,85+,37,Non-COVID-19
20,1,Hospital,F,0,1,Non-COVID-19
20,1,Hospital,M,0,2,Non-COVID-19
20,1,Hospital,F,1-14,1,Non-COVID-19
20,1,Hospital,F,15-44,4,Non-COVID-19
20,1,Hospital,M,15-44,5,Non-COVID-19
20,1,Hospital,F,45-64,34,Non-COVID-19
20,1,Hospital,M,45-64,40,Non-COVID-19
20,1,Hospital,F,65-74,40,Non-COVID-19
20,1,Hospital,M,65-74,63,Non-COVID-19
20,1,Hospital,M,75-84,88,Non-COVID-19
20,1,Hospital,F,75-84,100,Non-COVID-19
20,1,Hospital,M,85+,64,Non-COVID-19
20,1,Hospital,F,85+,107,Non-COVID-19
20,1,Other institution,F,75-84,2,Non-COVID-19
20,2,Care Home,M,15-44,1,Non-COVID-19
20,2,Care Home,F,45-64,6,Non-COVID-19
20,2,Care Home,M,45-64,8,Non-COVID-19
20,2,Care Home,F,65-74,17,Non-COVID-19
20,2,Care Home,M,65-74,19,Non-COVID-19
20,2,Care Home,M,75-84,36,Non-COVID-19
20,2,Care Home,F,75-84,52,Non-COVID-19
20,2,Care Home,M,85+,65,Non-COVID-19
20,2,Care Home,F,85+,152,Non-COVID-19
20,2,Home / Non-institution,F,15-44,8,Non-COVID-19
20,2,Home / Non-institution,M,15-44,29,Non-COVID-19
20,2,Home / Non-institution,F,45-64,39,Non-COVID-19
20,2,Home / Non-institution,M,45-64,60,Non-COVID-19
20,2,Home / Non-institution,F,65-74,40,Non-COVID-19
20,2,Home / Non-institution,M,65-74,56,Non-COVID-19
20,2,Home / Non-institution,F,75-84,44,Non-COVID-19
20,2,Home / Non-institution,M,75-84,51,Non-COVID-19
20,2,Home / Non-institution,M,85+,35,Non-COVID-19
20,2,Home / Non-institution,F,85+,46,Non-COVID-19
20,2,Hospital,F,1-14,1,Non-COVID-19
20,2,Hospital,M,1-14,2,Non-COVID-19
20,2,Hospital,F,15-44,9,Non-COVID-19
20,2,Hospital,M,15-44,12,Non-COVID-19
20,2,Hospital,F,45-64,49,Non-COVID-19
20,2,Hospital,M,45-64,52,Non-COVID-19
20,2,Hospital,F,65-74,69,Non-COVID-19
20,2,Hospital,M,65-74,85,Non-COVID-19
20,2,Hospital,F,75-84,121,Non-COVID-19
20,2,Hospital,M,75-84,121,Non-COVID-19
20,2,Hospital,M,85+,117,Non-COVID-19
20,2,Hospital,F,85+,156,Non-COVID-19
20,2,Other institution,F,45-64,1,Non-COVID-19
20,2,Other institution,F,65-74,1,Non-COVID-19
20,2,Other institution,M,65-74,1,Non-COVID-19
20,2,Other institution,F,75-84,3,Non-COVID-19
20,2,Other institution,F,85+,3,Non-COVID-19
20,3,Care Home,F,15-44,1,Non-COVID-19
20,3,Care Home,M,15-44,1,Non-COVID-19
20,3,Care Home,M,45-64,10,Non-COVID-19
20,3,Care Home,F,45-64,13,Non-COVID-19
20,3,Care Home,F,65-74,14,Non-COVID-19
20,3,Care Home,M,65-74,20,Non-COVID-19
20,3,Care Home,M,75-84,34,Non-COVID-19
20,3,Care Home,F,75-84,53,Non-COVID-19
20,3,Care Home,M,85+,55,Non-COVID-19
20,3,Care Home,F,85+,119,Non-COVID-19
20,3,Home / Non-institution,F,15-44,4,Non-COVID-19
20,3,Home / Non-institution,M,15-44,18,Non-COVID-19
20,3,Home / Non-institution,F,45-64,36,Non-COVID-19
20,3,Home / Non-institution,M,45-64,55,Non-COVID-19
20,3,Home / Non-institution,F,65-74,34,Non-COVID-19
20,3,Home / Non-institution,M,65-74,54,Non-COVID-19
20,3,Home / Non-institution,F,75-84,35,Non-COVID-19
20,3,Home / Non-institution,M,75-84,54,Non-COVID-19
20,3,Home / Non-institution,M,85+,30,Non-COVID-19
20,3,Home / Non-institution,F,85+,44,Non-COVID-19
20,3,Hospital,F,0,1,Non-COVID-19
20,3,Hospital,M,0,2,Non-COVID-19
20,3,Hospital,F,15-44,4,Non-COVID-19
20,3,Hospital,M,15-44,8,Non-COVID-19
20,3,Hospital,F,45-64,31,Non-COVID-19
20,3,Hospital,M,45-64,47,Non-COVID-19
20,3,Hospital,F,65-74,57,Non-COVID-19
20,3,Hospital,M,65-74,58,Non-COVID-19
20,3,Hospital,F,75-84,97,Non-COVID-19
20,3,Hospital,M,75-84,111,Non-COVID-19
20,3,Hospital,M,85+,92,Non-COVID-19
20,3,Hospital,F,85+,123,Non-COVID-19
20,3,Other institution,M,45-64,1,Non-COVID-19
20,3,Other institution,F,65-74,2,Non-COVID-19
20,3,Other institution,F,75-84,1,Non-COVID-19
20,3,Other institution,M,85+,1,Non-COVID-19
20,3,Other institution,F,85+,2,Non-COVID-19
20,4,Care Home,F,15-44,2,Non-COVID-19
20,4,Care Home,M,45-64,5,Non-COVID-19
20,4,Care Home,F,45-64,15,Non-COVID-19
20,4,Care Home,F,65-74,16,Non-COVID-19
20,4,Care Home,M,65-74,17,Non-COVID-19
20,4,Care Home,M,75-84,33,Non-COVID-19
20,4,Care Home,F,75-84,38,Non-COVID-19
20,4,Care Home,M,85+,52,Non-COVID-19
20,4,Care Home,F,85+,117,Non-COVID-19
20,4,Home / Non-institution,M,1-14,1,Non-COVID-19
20,4,Home / Non-institution,F,15-44,7,Non-COVID-19
20,4,Home / Non-institution,M,15-44,24,Non-COVID-19
20,4,Home / Non-institution,F,45-64,25,Non-COVID-19
20,4,Home / Non-institution,M,45-64,46,Non-COVID-19
20,4,Home / Non-institution,F,65-74,33,Non-COVID-19
20,4,Home / Non-institution,M,65-74,42,Non-COVID-19
20,4,Home / Non-institution,F,75-84,35,Non-COVID-19
20,4,Home / Non-institution,M,75-84,58,Non-COVID-19
20,4,Home / Non-institution,M,85+,26,Non-COVID-19
20,4,Home / Non-institution,F,85+,33,Non-COVID-19
20,4,Hospital,F,0,1,Non-COVID-19
20,4,Hospital,M,1-14,2,Non-COVID-19
20,4,Hospital,F,15-44,5,Non-COVID-19
20,4,Hospital,M,15-44,11,Non-COVID-19
20,4,Hospital,F,45-64,39,Non-COVID-19
20,4,Hospital,M,45-64,40,Non-COVID-19
20,4,Hospital,F,65-74,54,Non-COVID-19
20,4,Hospital,M,65-74,68,Non-COVID-19
20,4,Hospital,F,75-84,80,Non-COVID-19
20,4,Hospital,M,75-84,97,Non-COVID-19
20,4,Hospital,M,85+,76,Non-COVID-19
20,4,Hospital,F,85+,123,Non-COVID-19
20,4,Other institution,M,15-44,1,Non-COVID-19
20,4,Other institution,F,45-64,1,Non-COVID-19
20,4,Other institution,F,65-74,1,Non-COVID-19
20,4,Other institution,F,75-84,2,Non-COVID-19
20,5,Care Home,M,1-14,1,Non-COVID-19
20,5,Care Home,M,15-44,1,Non-COVID-19
20,5,Care Home,M,45-64,8,Non-COVID-19
20,5,Care Home,F,45-64,14,Non-COVID-19
20,5,Care Home,F,65-74,9,Non-COVID-19
20,5,Care Home,M,65-74,19,Non-COVID-19
20,5,Care Home,F,75-84,36,Non-COVID-19
20,5,Care Home,M,75-84,38,Non-COVID-19
20,5,Care Home,M,85+,61,Non-COVID-19
20,5,Care Home,F,85+,92,Non-COVID-19
20,5,Home / Non-institution,F,1-14,1,Non-COVID-19
20,5,Home / Non-institution,F,15-44,3,Non-COVID-19
20,5,Home / Non-institution,M,15-44,17,Non-COVID-19
20,5,Home / Non-institution,F,45-64,22,Non-COVID-19
20,5,Home / Non-institution,M,45-64,54,Non-COVID-19
20,5,Home / Non-institution,F,65-74,32,Non-COVID-19
20,5,Home / Non-institution,M,65-74,36,Non-COVID-19
20,5,Home / Non-institution,F,75-84,44,Non-COVID-19
20,5,Home / Non-institution,M,75-84,46,Non-COVID-19
20,5,Home / Non-institution,M,85+,17,Non-COVID-19
